# ===================================================================
# 程度副词词典 - Degree Adverbs Dictionary
# ===================================================================
# 格式: 词语 程度系数
# 程度系数: <1减弱, 1不变, >1增强
# 系数范围: 0.2-3.0

# ========== 极度增强 (2.5-3.0) ==========
极其 2.8
极度 2.8
极端 2.7
极为 2.7
万分 2.8
无比 2.8
无限 2.7
绝对 2.5
完全 2.5
彻底 2.5
十足 2.5
百分百 2.8
百分之百 2.8

# ========== 强烈增强 (2.0-2.4) ==========
非常 2.0
特别 2.0
超级 2.2
超 2.0
巨 2.0
狂 2.2
爆 2.2
死 2.0
要死 2.2
要命 2.2
透了 2.0
透顶 2.2
之极 2.3
至极 2.3
不得了 2.2
不行了 2.0
疯了 2.2
炸了 2.2
爆了 2.2

# ========== 较强增强 (1.5-1.9) ==========
很 1.5
太 1.8
真 1.5
好 1.3
挺 1.3
蛮 1.3
相当 1.6
十分 1.8
分外 1.6
格外 1.6
尤其 1.6
尤为 1.6
更 1.4
更加 1.5
越发 1.5
愈发 1.5
愈加 1.5
越来越 1.6
日益 1.4
倍加 1.7
加倍 1.7
倍感 1.6

# ========== 中等增强 (1.2-1.4) ==========
比较 1.2
较 1.2
较为 1.2
颇 1.3
颇为 1.3
甚 1.3
甚为 1.3
实在 1.3
确实 1.3
的确 1.3
着实 1.3
委实 1.3
当真 1.3
果然 1.2
果真 1.2
简直 1.4
几乎 1.2
差不多 1.1
大概 1.1
大约 1.1

# ========== 轻微增强 (1.0-1.1) ==========
还 1.0
也 1.0
都 1.0
就 1.0
才 1.0
只 1.0
仅 1.0
光 1.0
单 1.0
净 1.0
尽 1.0
全 1.1
总 1.0
老 1.0
一直 1.0
始终 1.0
向来 1.0
从来 1.0
历来 1.0
素来 1.0

# ========== 轻微减弱 (0.7-0.9) ==========
有点 0.7
有些 0.7
有点儿 0.7
有些儿 0.7
稍 0.7
稍微 0.7
稍稍 0.7
略 0.7
略微 0.7
略略 0.7
些 0.8
些许 0.8
一些 0.8
一点 0.7
一点儿 0.7
多少 0.8
几分 0.8
几许 0.8
不太 0.7
不很 0.7
不大 0.7
不怎么 0.6

# ========== 较强减弱 (0.4-0.6) ==========
勉强 0.5
将就 0.5
凑合 0.5
马马虎虎 0.5
一般 0.5
一般般 0.4
普通 0.5
平常 0.5
寻常 0.5
还好 0.6
还行 0.5
尚可 0.5
过得去 0.5
说得过去 0.5
不算 0.5
算不上 0.5
谈不上 0.5

# ========== 极度减弱 (0.2-0.3) ==========
几乎不 0.2
几乎没 0.2
基本不 0.3
基本没 0.3
很少 0.3
极少 0.2
鲜少 0.2
罕见 0.2
难得 0.3
偶尔 0.3
偶然 0.3
不常 0.3
不多 0.3
